Device,ADC,Bootswap,CCP,CLC,COG,Comp,CVREF,CoreTimer,CRC,CWG,DeepSleep,DMA,DSM,EEFlash,FVR,GPIO,HLT,IC,INT,IOC,OC,Osc,Ports,PPS,PWM,PullUp,RTSP,SMT,Timer,UART,VREF,WDT
PIC24HJ32GP204,ADC1,,,,,,,,,,,,,,,,,IC1;IC2;IC7;IC8,INT,IOC,OC1;OC2,OSC,PORTA;PORTB;PORTC,PPS,,PullUp,RTSP,,TMR1;TMR2;TMR3,UART1,,WDT
PIC24HJ32GP302,ADC1,,,,,COMP,,,CRC,,,DMA,,,,,,IC1;IC2;IC7;IC8,INT,IOC,OC1;OC2;OC3;OC4,OSC,PORTA;PORTB,PPS,,PullUp,RTSP,,TMR1;TMR2;TMR3;TMR4;TMR5,UART1;UART2,VREF,WDT
PIC24HJ32GP304,ADC1,,,,,COMP,,,CRC,,,DMA,,,,,,IC1;IC2;IC7;IC8,INT,IOC,OC1;OC2;OC3;OC4,OSC,PORTA;PORTB;PORTC,PPS,,PullUp,RTSP,,TMR1;TMR2;TMR3;TMR4;TMR5,UART1;UART2,VREF,WDT
PIC24HJ64GP202,ADC1,,,,,COMP,,,CRC,,,DMA,,,,,,IC1;IC2;IC7;IC8,INT,IOC,OC1;OC2;OC3;OC4,OSC,PORTA;PORTB,PPS,,PullUp,RTSP,,TMR1;TMR2;TMR3;TMR4;TMR5,UART1;UART2,VREF,WDT
PIC24HJ64GP204,ADC1,,,,,COMP,,,CRC,,,DMA,,,,,,IC1;IC2;IC7;IC8,INT,IOC,OC1;OC2;OC3;OC4,OSC,PORTA;PORTB;PORTC,PPS,,PullUp,RTSP,,TMR1;TMR2;TMR3;TMR4;TMR5,UART1;UART2,VREF,WDT
PIC24HJ64GP206,ADC1,,,,,,,,,,,DMA,,,,,,IC1;IC2;IC3;IC4;IC5;IC6;IC7;IC8,INT,IOC,OC1;OC2;OC3;OC4;OC5;OC6;OC7;OC8,OSC,PORTB;PORTC;PORTD;PORTF;PORTG,,,PullUp,RTSP,,TMR1;TMR2;TMR3;TMR4;TMR5;TMR6;TMR7;TMR8;TMR9,UART1;UART2,,WDT
PIC24HJ64GP206A,ADC1,,,,,,,,,,,DMA,,,,,,IC1;IC2;IC3;IC4;IC5;IC6;IC7;IC8,INT,IOC,OC1;OC2;OC3;OC4;OC5;OC6;OC7;OC8,OSC,PORTB;PORTC;PORTD;PORTF;PORTG,,,PullUp,RTSP,,TMR1;TMR2;TMR3;TMR4;TMR5;TMR6;TMR7;TMR8;TMR9,UART1;UART2,,WDT
PIC24HJ64GP210,ADC1,,,,,,,,,,,DMA,,,,,,IC1;IC2;IC3;IC4;IC5;IC6;IC7;IC8,INT,IOC,OC1;OC2;OC3;OC4;OC5;OC6;OC7;OC8,OSC,PORTA;PORTB;PORTC;PORTD;PORTE;PORTF;PORTG,,,PullUp,RTSP,,TMR1;TMR2;TMR3;TMR4;TMR5;TMR6;TMR7;TMR8;TMR9,UART1;UART2,,WDT
PIC24HJ64GP210A,ADC1,,,,,,,,,,,DMA,,,,,,IC1;IC2;IC3;IC4;IC5;IC6;IC7;IC8,INT,IOC,OC1;OC2;OC3;OC4;OC5;OC6;OC7;OC8,OSC,PORTA;PORTB;PORTC;PORTD;PORTE;PORTF;PORTG,,,PullUp,RTSP,,TMR1;TMR2;TMR3;TMR4;TMR5;TMR6;TMR7;TMR8;TMR9,UART1;UART2,,WDT
PIC24HJ64GP502,ADC1,,,,,COMP,,,CRC,,,DMA,,,,,,IC1;IC2;IC7;IC8,INT,IOC,OC1;OC2;OC3;OC4,OSC,PORTA;PORTB,PPS,,PullUp,RTSP,,TMR1;TMR2;TMR3;TMR4;TMR5,UART1;UART2,VREF,WDT
PIC24HJ64GP504,ADC1,,,,,COMP,,,CRC,,,DMA,,,,,,IC1;IC2;IC7;IC8,INT,IOC,OC1;OC2;OC3;OC4,OSC,PORTA;PORTB;PORTC,PPS,,PullUp,RTSP,,TMR1;TMR2;TMR3;TMR4;TMR5,UART1;UART2,VREF,WDT
PIC24HJ64GP506,ADC1,,,,,,,,,,,DMA,,,,,,IC1;IC2;IC3;IC4;IC5;IC6;IC7;IC8,INT,IOC,OC1;OC2;OC3;OC4;OC5;OC6;OC7;OC8,OSC,PORTB;PORTC;PORTD;PORTF;PORTG,,,PullUp,RTSP,,TMR1;TMR2;TMR3;TMR4;TMR5;TMR6;TMR7;TMR8;TMR9,UART1;UART2,,WDT
PIC24HJ64GP506A,ADC1,,,,,,,,,,,DMA,,,,,,IC1;IC2;IC3;IC4;IC5;IC6;IC7;IC8,INT,IOC,OC1;OC2;OC3;OC4;OC5;OC6;OC7;OC8,OSC,PORTB;PORTC;PORTD;PORTF;PORTG,,,PullUp,RTSP,,TMR1;TMR2;TMR3;TMR4;TMR5;TMR6;TMR7;TMR8;TMR9,UART1;UART2,,WDT
PIC24HJ64GP510,ADC1,,,,,,,,,,,DMA,,,,,,IC1;IC2;IC3;IC4;IC5;IC6;IC7;IC8,INT,IOC,OC1;OC2;OC3;OC4;OC5;OC6;OC7;OC8,OSC,PORTA;PORTB;PORTC;PORTD;PORTE;PORTF;PORTG,,,PullUp,RTSP,,TMR1;TMR2;TMR3;TMR4;TMR5;TMR6;TMR7;TMR8;TMR9,UART1;UART2,,WDT
PIC24HJ64GP510A,ADC1,,,,,,,,,,,DMA,,,,,,IC1;IC2;IC3;IC4;IC5;IC6;IC7;IC8,INT,IOC,OC1;OC2;OC3;OC4;OC5;OC6;OC7;OC8,OSC,PORTA;PORTB;PORTC;PORTD;PORTE;PORTF;PORTG,,,PullUp,RTSP,,TMR1;TMR2;TMR3;TMR4;TMR5;TMR6;TMR7;TMR8;TMR9,UART1;UART2,,WDT
PIC32MK0512GPD064,,,,,,COMP3;COMP4;COMP5,,CoreTimer,,,,DMA,,,,,,IC1;IC10;IC11;IC12;IC13;IC14;IC15;IC16;IC2;IC3;IC4;IC5;IC6;IC7;IC8;IC9,INT,IOC,OC1;OC10;OC11;OC12;OC13;OC14;OC15;OC16;OC2;OC3;OC4;OC5;OC6;OC7;OC8;OC9,OSC,PORTA;PORTB;PORTC;PORTD;PORTE;PORTF;PORTG,PPS,,PullUp,RTSP,,TMR1;TMR2;TMR3;TMR4;TMR5;TMR6;TMR7;TMR8;TMR9,UART1;UART2;UART3;UART4;UART5;UART6,,WDT32
PIC32MK0512GPD100,,,,,,COMP1;COMP2;COMP3;COMP4;COMP5,,CoreTimer,,,,DMA,,,,,,IC1;IC10;IC11;IC12;IC13;IC14;IC15;IC16;IC2;IC3;IC4;IC5;IC6;IC7;IC8;IC9,INT,IOC,OC1;OC10;OC11;OC12;OC13;OC14;OC15;OC16;OC2;OC3;OC4;OC5;OC6;OC7;OC8;OC9,OSC,PORTA;PORTB;PORTC;PORTD;PORTE;PORTF;PORTG,PPS,,PullUp,RTSP,,TMR1;TMR2;TMR3;TMR4;TMR5;TMR6;TMR7;TMR8;TMR9,UART1;UART2;UART3;UART4;UART5;UART6,,WDT32
PIC32MK0512GPE064,,,,,,COMP3;COMP4;COMP5,,CoreTimer,,,,DMA,,,,,,IC1;IC10;IC11;IC12;IC13;IC14;IC15;IC16;IC2;IC3;IC4;IC5;IC6;IC7;IC8;IC9,INT,IOC,OC1;OC10;OC11;OC12;OC13;OC14;OC15;OC16;OC2;OC3;OC4;OC5;OC6;OC7;OC8;OC9,OSC,PORTA;PORTB;PORTC;PORTD;PORTE;PORTF;PORTG,PPS,,PullUp,RTSP,,TMR1;TMR2;TMR3;TMR4;TMR5;TMR6;TMR7;TMR8;TMR9,UART1;UART2;UART3;UART4;UART5;UART6,,WDT32
PIC32MK0512GPE100,,,,,,COMP1;COMP2;COMP3;COMP4;COMP5,,CoreTimer,,,,DMA,,,,,,IC1;IC10;IC11;IC12;IC13;IC14;IC15;IC16;IC2;IC3;IC4;IC5;IC6;IC7;IC8;IC9,INT,IOC,OC1;OC10;OC11;OC12;OC13;OC14;OC15;OC16;OC2;OC3;OC4;OC5;OC6;OC7;OC8;OC9,OSC,PORTA;PORTB;PORTC;PORTD;PORTE;PORTF;PORTG,PPS,,PullUp,RTSP,,TMR1;TMR2;TMR3;TMR4;TMR5;TMR6;TMR7;TMR8;TMR9,UART1;UART2;UART3;UART4;UART5;UART6,,WDT32
PIC32MK0512MCF064,,,,,,COMP1;COMP2;COMP3;COMP4;COMP5,,CoreTimer,,,,DMA,,,,,,IC1;IC10;IC11;IC12;IC13;IC14;IC15;IC16;IC2;IC3;IC4;IC5;IC6;IC7;IC8;IC9,INT,IOC,OC1;OC10;OC11;OC12;OC13;OC14;OC15;OC16;OC2;OC3;OC4;OC5;OC6;OC7;OC8;OC9,OSC,PORTA;PORTB;PORTC;PORTD;PORTE;PORTF;PORTG,PPS,,PullUp,RTSP,,TMR1;TMR2;TMR3;TMR4;TMR5;TMR6;TMR7;TMR8;TMR9,UART1;UART2;UART3;UART4;UART5;UART6,,WDT32
PIC32MK0512MCF100,,,,,,COMP1;COMP2;COMP3;COMP4;COMP5,,CoreTimer,,,,DMA,,,,,,IC1;IC10;IC11;IC12;IC13;IC14;IC15;IC16;IC2;IC3;IC4;IC5;IC6;IC7;IC8;IC9,INT,IOC,OC1;OC10;OC11;OC12;OC13;OC14;OC15;OC16;OC2;OC3;OC4;OC5;OC6;OC7;OC8;OC9,OSC,PORTA;PORTB;PORTC;PORTD;PORTE;PORTF;PORTG,PPS,,PullUp,RTSP,,TMR1;TMR2;TMR3;TMR4;TMR5;TMR6;TMR7;TMR8;TMR9,UART1;UART2;UART3;UART4;UART5;UART6,,WDT32
PIC32MK1024GPD064,,,,,,COMP3;COMP4;COMP5,,CoreTimer,,,,DMA,,,,,,IC1;IC10;IC11;IC12;IC13;IC14;IC15;IC16;IC2;IC3;IC4;IC5;IC6;IC7;IC8;IC9,INT,IOC,OC1;OC10;OC11;OC12;OC13;OC14;OC15;OC16;OC2;OC3;OC4;OC5;OC6;OC7;OC8;OC9,OSC,PORTA;PORTB;PORTC;PORTD;PORTE;PORTF;PORTG,PPS,,PullUp,RTSP,,TMR1;TMR2;TMR3;TMR4;TMR5;TMR6;TMR7;TMR8;TMR9,UART1;UART2;UART3;UART4;UART5;UART6,,WDT32
PIC32MK1024GPD100,,,,,,COMP1;COMP2;COMP3;COMP4;COMP5,,CoreTimer,,,,DMA,,,,,,IC1;IC10;IC11;IC12;IC13;IC14;IC15;IC16;IC2;IC3;IC4;IC5;IC6;IC7;IC8;IC9,INT,IOC,OC1;OC10;OC11;OC12;OC13;OC14;OC15;OC16;OC2;OC3;OC4;OC5;OC6;OC7;OC8;OC9,OSC,PORTA;PORTB;PORTC;PORTD;PORTE;PORTF;PORTG,PPS,,PullUp,RTSP,,TMR1;TMR2;TMR3;TMR4;TMR5;TMR6;TMR7;TMR8;TMR9,UART1;UART2;UART3;UART4;UART5;UART6,,WDT32
PIC32MK1024GPE064,,,,,,COMP3;COMP4;COMP5,,CoreTimer,,,,DMA,,,,,,IC1;IC10;IC11;IC12;IC13;IC14;IC15;IC16;IC2;IC3;IC4;IC5;IC6;IC7;IC8;IC9,INT,IOC,OC1;OC10;OC11;OC12;OC13;OC14;OC15;OC16;OC2;OC3;OC4;OC5;OC6;OC7;OC8;OC9,OSC,PORTA;PORTB;PORTC;PORTD;PORTE;PORTF;PORTG,PPS,,PullUp,RTSP,,TMR1;TMR2;TMR3;TMR4;TMR5;TMR6;TMR7;TMR8;TMR9,UART1;UART2;UART3;UART4;UART5;UART6,,WDT32
PIC32MK1024GPE100,,,,,,COMP1;COMP2;COMP3;COMP4;COMP5,,CoreTimer,,,,DMA,,,,,,IC1;IC10;IC11;IC12;IC13;IC14;IC15;IC16;IC2;IC3;IC4;IC5;IC6;IC7;IC8;IC9,INT,IOC,OC1;OC10;OC11;OC12;OC13;OC14;OC15;OC16;OC2;OC3;OC4;OC5;OC6;OC7;OC8;OC9,OSC,PORTA;PORTB;PORTC;PORTD;PORTE;PORTF;PORTG,PPS,,PullUp,RTSP,,TMR1;TMR2;TMR3;TMR4;TMR5;TMR6;TMR7;TMR8;TMR9,UART1;UART2;UART3;UART4;UART5;UART6,,WDT32
PIC32MK1024MCF064,,,,,,COMP1;COMP2;COMP3;COMP4;COMP5,,CoreTimer,,,,DMA,,,,,,IC1;IC10;IC11;IC12;IC13;IC14;IC15;IC16;IC2;IC3;IC4;IC5;IC6;IC7;IC8;IC9,INT,IOC,OC1;OC10;OC11;OC12;OC13;OC14;OC15;OC16;OC2;OC3;OC4;OC5;OC6;OC7;OC8;OC9,OSC,PORTA;PORTB;PORTC;PORTD;PORTE;PORTF;PORTG,PPS,,PullUp,RTSP,,TMR1;TMR2;TMR3;TMR4;TMR5;TMR6;TMR7;TMR8;TMR9,UART1;UART2;UART3;UART4;UART5;UART6,,WDT32
