,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3,RI:ICD3,RI:ICD3,RI,RI,RI,RI,RI,RI,RI,RI,RI
Device,Prog/Data BPs,Data BP Access,ANDed BPs,Sequenced BPs,Range BPs,Table R/W BPs,Pass Count,Break - Clk Sw,Break - Sleep,Break - Stack,Break - WDT,Stopwatch,Debug Reads,Stack Snapshot,PKOB Support,Runtime BPs,SW BPs,App IO,Data Capture,Realtime Watch,Native Trace,Port Trace,SPI Trace,Inst Trace,Jump Trace,PC Sampling,FLP,
PIC16F1517,3 Total,R/W,0,No,N/A,No,Yes,No,Yes,Yes,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3,Yes,Yes,Yes,N/A,No,Yes,Yes,Yes,No,No,No,No,No,Yes,
PIC16F1518,3 Total,R/W,0,No,N/A,No,Yes,No,Yes,Yes,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3,Yes,Yes,Yes,N/A,No,Yes,Yes,Yes,No,No,No,No,No,Yes,
PIC16F1519,3 Total,R/W,0,No,N/A,No,Yes,No,Yes,Yes,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3,Yes,Yes,Yes,N/A,No,Yes,Yes,Yes,No,No,No,No,No,Yes,
PIC16F1526,3 Total,R/W,0,No,N/A,No,Yes,No,Yes,Yes,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3,Yes,Yes,Yes,N/A,No,Yes,Yes,Yes,No,No,No,No,No,Yes,
PIC16F1527,3 Total,R/W,0,No,N/A,No,Yes,No,Yes,Yes,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3,Yes,Yes,Yes,N/A,No,Yes,Yes,Yes,No,No,No,No,No,Yes,
PIC16F15325,3 Total,R/W,0,No,N/A,No,Yes,No,No,Yes,No,No,Yes:RI-Yes:ICD3-N/A:PK3,Yes,Yes,Yes,N/A,No,No,No,No,No,No,No,No,No,No,
PIC16F15345,3 Total,R/W,0,No,N/A,No,Yes,No,No,Yes,No,No,Yes:RI-Yes:ICD3-N/A:PK3,Yes,Yes,Yes,N/A,No,No,No,No,No,No,No,No,No,No,
PIC16F15354,3 Total,R/W,0,No,N/A,No,Yes,No,No,Yes,No,No,Yes:RI-Yes:ICD3-N/A:PK3,Yes,Yes,Yes,N/A,No,No,No,No,No,No,No,No,No,No,
PIC16F15355,3 Total,R/W,0,No,N/A,No,Yes,No,No,Yes,No,No,Yes:RI-Yes:ICD3-N/A:PK3,Yes,Yes,Yes,N/A,No,No,No,No,No,No,No,No,No,No,
PIC16F15356,3 Total,R/W,0,No,N/A,No,Yes,No,No,Yes,No,No,Yes:RI-Yes:ICD3-N/A:PK3,Yes,Yes,Yes,N/A,No,No,No,No,No,No,No,No,No,No,
PIC16F15375,3 Total,R/W,0,No,N/A,No,Yes,No,No,Yes,No,No,Yes:RI-Yes:ICD3-N/A:PK3,Yes,Yes,Yes,N/A,No,No,No,No,No,No,No,No,No,No,
PIC16F15376,3 Total,R/W,0,No,N/A,No,Yes,No,No,Yes,No,No,Yes:RI-Yes:ICD3-N/A:PK3,Yes,Yes,Yes,N/A,No,No,No,No,No,No,No,No,No,No,
PIC16F15385,3 Total,R/W,0,No,N/A,No,Yes,No,No,Yes,No,No,Yes:RI-Yes:ICD3-N/A:PK3,Yes,Yes,Yes,N/A,No,No,No,No,No,No,No,No,No,No,
PIC16F15386,3 Total,R/W,0,No,N/A,No,Yes,No,No,Yes,No,No,Yes:RI-Yes:ICD3-N/A:PK3,Yes,Yes,Yes,N/A,No,No,No,No,No,No,No,No,No,No,
PIC16F1574,1 Total,No,0,No,N/A,No,No,No,No,No,No,No,Yes:RI-Yes:ICD3-No:PK3,Yes,Yes,Yes,N/A,No,No,No,No,No,No,No,No,No,No,
PIC16F1575,1 Total,No,0,No,N/A,No,No,No,No,No,No,No,Yes:RI-Yes:ICD3-No:PK3,Yes,Yes,Yes,N/A,No,No,No,No,No,No,No,No,No,No,
PIC16F1578,1 Total,No,0,No,N/A,No,No,No,No,No,No,No,Yes:RI-Yes:ICD3-No:PK3,Yes,Yes,Yes,N/A,No,No,No,No,No,No,No,No,No,No,
PIC16F1579,1 Total,No,0,No,N/A,No,No,No,No,No,No,No,Yes:RI-Yes:ICD3-No:PK3,Yes,Yes,Yes,N/A,No,No,No,No,No,No,No,No,No,No,
PIC16F1613,1 Total,No,0,No,N/A,No,No,No,No,No,No,No,Yes:RI-Yes:ICD3-No:PK3,Yes,Yes,Yes,N/A,No,No,No,No,No,No,No,No,No,No,
PIC16F1613 using AC244066,32 Total,R/W,0,'32/32,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,N/A,No,Yes,Yes,No,No,No,Yes,No,No,No,
PIC16F1614,1 Total,No,0,No,N/A,No,No,No,No,No,No,No,Yes:RI-Yes:ICD3-No:PK3,Yes,Yes,Yes,N/A,No,No,No,No,No,No,No,No,No,No,
PIC16F1614 using AC244066,32 Total,R/W,0,'32/32,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,N/A,No,Yes,Yes,No,No,No,Yes,No,No,No,
PIC16F1615,1 Total,No,0,No,N/A,No,No,No,No,No,No,No,Yes:RI-Yes:ICD3-No:PK3,Yes,Yes,Yes,N/A,No,No,No,No,No,No,No,No,No,No,
PIC16F1615 using AC244066,32 Total,R/W,0,'32/32,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,N/A,No,Yes,Yes,No,No,No,Yes,No,No,No,
PIC16F1618,1 Total,No,0,No,N/A,No,No,No,No,No,No,No,Yes:RI-Yes:ICD3-No:PK3,Yes,Yes,Yes,N/A,No,No,No,No,No,No,No,No,No,No,
PIC16F1618 using AC244066,32 Total,R/W,0,'32/32,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,N/A,No,Yes,Yes,No,No,No,Yes,No,No,No,
